u1	f1	u2	f2	u3	f3
10.0501	90.5710	10.0501	84.0293	10.0501	80.6000
10.0901	90.7477	10.0901	83.6955	10.0901	80.9765
10.1301	91.7519	10.1301	84.0245	10.1301	81.1955
10.1702	91.5194	10.1702	84.3483	10.1702	81.8243
10.2102	92.1489	10.2102	84.9000	10.2102	82.2000
10.2503	93.1962	10.2503	84.9260	10.2503	82.9244
10.2903	94.2269	10.2903	84.9253	10.2903	83.1755
10.3303	94.0234	10.3303	85.4253	10.3303	83.2733
10.3704	94.7505	10.3704	85.8252	10.3704	84.7002
10.4104	95.3760	10.4104	85.9490	10.4104	84.2503
10.4505	96.2758	10.4505	86.3563	10.4505	85.0019
10.4905	96.9327	10.4905	87.4261	10.4905	85.4000
10.5305	97.9000	10.5305	87.5741	10.5305	85.6523
10.5706	98.2738	10.5706	87.8526	10.5706	86.6260
10.6106	98.6323	10.6106	88.0000	10.6106	87.0103
10.6507	99.3599	10.6507	88.1808	10.6507	87.9069
10.6907	100.4806	10.6907	88.9803	10.6907	88.2538
10.7307	101.3000	10.7307	89.3813	10.7307	88.6803
10.7708	101.9635	10.7708	90.0447	10.7708	89.3813
10.8108	103.1373	10.8108	89.7000	10.8108	90.1826
10.8509	103.9553	10.8509	90.3276	10.8509	90.9915
10.8909	104.1277	10.8909	91.1116	10.8909	91.5551
10.9309	105.0929	10.9309	91.4569	10.9309	92.3388
10.9710	106.1837	10.9710	91.8285	10.9710	92.5559
11.0110	106.9992	11.0110	92.2284	11.0110	93.4282
11.0511	108.5711	11.0511	92.3426	11.0511	93.9716
11.0911	109.1443	11.0911	92.5585	11.0911	94.0722
11.1311	110.2162	11.1311	93.2466	11.1311	95.0301
11.1712	111.0755	11.1712	94.2000	11.1712	96.4293
11.2112	112.1589	11.2112	94.7065	11.2112	96.9583
11.2513	112.8483	11.2513	94.8601	11.2513	97.6360
11.2913	113.9389	11.2913	95.7301	11.2913	98.8182
11.3313	115.3405	11.3313	96.1798	11.3313	99.4807
11.3714	116.5807	11.3714	97.4212	11.3714	100.7700
11.4114	117.7108	11.4114	97.7911	11.4114	101.5819
11.4515	118.8226	11.4515	98.5618	11.4515	102.2822
11.4915	120.1852	11.4915	99.4153	11.4915	103.5139
11.5315	121.3781	11.5315	100.7245	11.5315	104.3538
11.5716	123.1866	11.5716	101.6566	11.5716	105.5238
11.6116	124.4734	11.6116	102.7951	11.6116	106.7804
11.6517	126.1583	11.6517	103.9565	11.6517	108.3195
11.6917	127.6170	11.6917	104.9581	11.6917	109.5525
11.7317	129.8847	11.7317	106.0948	11.7317	110.5915
11.7718	131.8903	11.7718	108.2900	11.7718	112.1597
11.8118	133.7597	11.8118	110.0314	11.8118	113.8300
11.8519	135.0286	11.8519	111.4600	11.8519	114.3589
11.8919	136.9958	11.8919	113.3326	11.8919	116.7273
11.9319	139.2976	11.9319	115.0332	11.9319	117.9949
11.9720	141.1663	11.9720	116.2321	11.9720	119.7637
12.0120	142.7997	12.0120	118.1694	12.0120	121.7990
12.0521	144.5015	12.0521	120.2048	12.0521	123.4335
12.0921	146.5024	12.0921	122.5432	12.0921	125.2692
12.1321	148.7406	12.1321	124.2359	12.1321	126.8039
12.1722	150.2386	12.1722	126.0807	12.1722	128.9038
12.2122	152.2429	12.2122	128.9229	12.2122	130.4403
12.2523	154.4160	12.2523	131.7838	12.2523	132.2436
12.2923	156.5486	12.2923	134.2232	12.2923	134.1037
12.3323	158.6156	12.3323	136.6610	12.3323	135.6129
12.3724	160.7232	12.3724	139.3636	12.3724	137.9622
12.4124	162.9320	12.4124	141.8710	12.4124	140.8350
12.4525	164.9636	12.4525	145.0947	12.4525	143.1212
12.4925	167.0228	12.4925	147.4751	12.4925	144.8201
12.5325	168.8525	12.5325	150.1060	12.5325	147.4934
12.5726	170.5077	12.5726	152.5283	12.5726	149.7035
12.6126	173.0646	12.6126	154.9818	12.6126	152.0701
12.6527	174.7824	12.6527	158.2077	12.6527	154.0000
12.6927	175.8106	12.6927	160.1099	12.6927	156.3675
12.7327	176.7336	12.7327	162.0982	12.7327	158.2677
12.7728	177.9236	12.7728	163.9717	12.7728	160.8697
12.8128	179.2491	12.8128	166.4258	12.8128	162.4743
12.8529	179.9874	12.8529	168.6665	12.8529	163.9755
12.8929	181.4272	12.8929	170.2046	12.8929	166.0153
12.9329	182.3665	12.9329	172.2417	12.9329	168.4427
12.9730	183.0765	12.9730	174.1320	12.9730	169.8759
13.0130	184.1148	13.0130	175.5721	13.0130	171.4836
13.0531	184.7933	13.0531	176.6166	13.0531	172.9109
13.0931	185.5000	13.0931	177.9877	13.0931	174.8014
13.1331	186.1125	13.1331	179.0958	13.1331	176.5551
13.1732	186.7391	13.1732	179.8380	13.1732	177.3567
13.2132	187.6184	13.2132	180.7575	13.2132	178.3567
13.2533	188.2983	13.2533	181.5583	13.2533	179.1787
13.2933	188.8017	13.2933	182.1599	13.2933	179.9770
13.3333	188.4399	13.3333	182.8023	13.3333	180.8193
13.3734	188.5403	13.3734	183.3205	13.3734	181.1803
13.4134	188.5405	13.4134	183.9615	13.4134	181.2598
13.4535	188.4191	13.4535	184.4185	13.4535	182.1807
13.4935	188.9813	13.4935	184.8238	13.4935	182.3408
13.5335	188.7411	13.5335	184.2587	13.5335	182.7049
13.5736	188.9175	13.5736	184.7488	13.5736	182.9825
13.6136	188.3756	13.6136	185.1419	13.6136	183.4823
13.6537	187.8750	13.6537	185.1159	13.6537	183.8512
13.6937	187.7581	13.6937	185.1000	13.6937	184.2747
13.7337	187.3897	13.7337	184.4000	13.7337	184.2418
13.7738	186.4897	13.7738	184.6424	13.7738	184.2741
13.8138	186.0741	13.8138	184.3143	13.8138	184.6119
13.8539	185.3720	13.8539	183.6446	13.8539	185.3847
13.8939	184.4714	13.8939	183.3145	13.8939	185.3574
13.9339	184.4286	13.9339	183.1568	13.9339	185.2000
13.9740	183.6278	13.9740	182.3943	13.9740	184.6273
14.0140	183.6131	14.0140	182.1434	14.0140	184.7000
14.0541	182.3506	14.0541	181.6246	14.0541	184.8000
14.0941	181.7877	14.0941	181.2115	14.0941	184.7257
14.1341	181.2796	14.1341	180.6555	14.1341	184.3440
14.1742	180.7229	14.1742	180.1778	14.1742	183.9555
14.2142	179.7221	14.2142	179.0781	14.2142	183.8884
14.2543	178.9660	14.2543	178.4099	14.2543	184.1556
14.2943	178.2205	14.2943	178.0642	14.2943	184.0000
14.3343	177.5197	14.3343	177.8550	14.3343	183.2100
14.3744	176.8284	14.3744	177.2838	14.3744	182.6651
14.4144	176.0548	14.4144	175.9624	14.4144	182.9097
14.4545	175.3193	14.4545	175.6000	14.4545	182.5639
14.4945	174.3248	14.4945	174.5711	14.4945	181.8633
14.5345	173.8461	14.5345	173.4782	14.5345	181.5458
14.5746	173.0686	14.5746	172.7067	14.5746	180.9242
14.6146	172.5150	14.6146	172.3531	14.6146	180.2072
14.6547	171.3666	14.6547	171.5671	14.6547	180.4073
14.6947	170.2656	14.6947	170.2194	14.6947	179.8137
14.7347	169.5721	14.7347	169.9626	14.7347	178.8726
14.7748	168.5766	14.7748	168.8523	14.7748	178.2424
14.8148	167.5101	14.8148	168.6105	14.8148	177.7000
14.8549	166.6140	14.8549	168.0565	14.8549	176.9579
14.8949	165.8564	14.8949	166.9069	14.8949	176.3573
14.9349	165.2519	14.9349	166.1546	14.9349	175.8045
14.9750	164.4069	14.9750	165.1628	14.9750	174.9036
