u_el	f_el	u_ev	f_ev	u_ep	f_ep
16.740	1326.120	NaN	NaN	16.740	730.201
16.785	1328.800	NaN	NaN	16.785	733.833
16.830	1328.470	NaN	NaN	16.830	733.064
16.875	1331.430	NaN	NaN	16.875	736.424
16.920	1331.480	NaN	NaN	16.920	735.281
16.965	1334.140	NaN	NaN	16.965	738.190
17.010	1334.010	NaN	NaN	17.010	736.423
17.055	1336.820	NaN	NaN	17.055	739.195
17.100	1337.010	NaN	NaN	17.100	737.329
17.145	1339.700	NaN	NaN	17.145	740.072
17.190	1339.720	NaN	NaN	17.190	738.203
17.235	1342.430	NaN	NaN	17.235	740.919
17.280	1342.760	NaN	NaN	17.280	740.570
17.325	1345.110	NaN	NaN	17.325	743.884
17.370	1345.160	NaN	NaN	17.370	742.183
17.415	1347.750	NaN	NaN	17.415	742.291
17.460	1348.190	NaN	NaN	17.460	741.305
17.505	1350.370	NaN	NaN	17.505	741.331
17.550	1350.490	NaN	NaN	17.550	739.987
17.595	1353.210	NaN	NaN	17.595	740.977
17.640	1353.730	NaN	NaN	17.640	740.670
17.685	1356.130	NaN	NaN	17.685	741.636
17.730	1356.470	NaN	NaN	17.730	743.297
17.775	1359.490	NaN	NaN	17.775	744.541
17.820	1360.500	NaN	NaN	17.820	746.670
17.865	1363.280	NaN	NaN	17.865	747.880
17.910	1364.510	NaN	NaN	17.91	750.337
17.955	1367.950	NaN	NaN	17.955	752.291
18.000	1370.540	NaN	NaN	18	756.008
18.045	1373.240	NaN	NaN	18.045	758.631
18.090	1376.080	NaN	NaN	18.09	761.736
18.135	1379.800	NaN	NaN	18.135	763.733
18.180	1384.380	NaN	NaN	18.18	767.155
18.225	1387.710	NaN	NaN	18.225	769.366
18.270	1391.570	NaN	NaN	18.27	773.241
18.315	1396.200	NaN	NaN	18.315	776.572
18.360	1399.870	NaN	NaN	18.36	780.583
18.405	1403.980	NaN	NaN	18.405	784.15
18.450	1408.440	NaN	NaN	18.45	788.716
18.495	1412.840	NaN	NaN	18.495	792.571
18.540	1416.870	NaN	NaN	18.54	796.91
18.585	1420.950	NaN	NaN	18.585	799.942
18.630	1425.070	NaN	NaN	18.63	805.155
18.675	1429.270	NaN	NaN	18.675	808.627
18.720	1433.490	NaN	NaN	18.72	813.256
18.765	1437.680	NaN	NaN	18.765	816.77
18.810	1442.010	NaN	NaN	18.81	821.722
18.855	1446.330	NaN	NaN	18.855	824.301
18.900	1450.710	NaN	NaN	18.9	829.568
18.945	1455.200	NaN	NaN	18.945	831.524
18.990	1459.810	NaN	NaN	18.99	836.695
19.035	1464.440	NaN	NaN	19.035	838.083
19.080	1468.900	NaN	NaN	19.08	843.26
19.125	1473.370	NaN	NaN	19.125	844.897
19.170	1477.870	NaN	NaN	19.17	850.341
19.215	1482.370	NaN	NaN	19.215	852.01
19.260	1486.930	NaN	NaN	19.26	856.592
19.305	1491.570	NaN	NaN	19.305	858.412
19.350	1496.320	NaN	NaN	19.35	861.753
19.395	1501.090	NaN	NaN	19.395	863.517
19.440	1506.140	NaN	NaN	19.44	866.238
19.485	1511.330	NaN	NaN	19.485	868.869
19.530	1516.800	NaN	NaN	19.53	871.203
19.575	1522.490	NaN	NaN	19.575	874.368
19.620	1528.350	NaN	NaN	19.62	876.068
19.665	1534.350	NaN	NaN	19.665	879.776
19.710	1540.270	NaN	NaN	19.71	881.429
19.755	1546.260	NaN	NaN	19.755	885.963
19.800	1552.530	NaN	NaN	19.8	887.298
NaN	NaN	NaN	NaN	19.845	891.383
NaN	NaN	NaN	NaN	19.89	889.556
NaN	NaN	NaN	NaN	19.935	894.795
NaN	NaN	NaN	NaN	19.98	891.587
NaN	NaN	NaN	NaN	20.025	899.346
NaN	NaN	NaN	NaN	20.07	894.437
NaN	NaN	NaN	NaN	20.115	902.576
NaN	NaN	NaN	NaN	20.16	896.556
NaN	NaN	NaN	NaN	20.205	905.204
NaN	NaN	NaN	NaN	20.25	898.96
NaN	NaN	NaN	NaN	20.295	908.501
NaN	NaN	NaN	NaN	20.34	902.405
NaN	NaN	NaN	NaN	20.385	911.595
NaN	NaN	NaN	NaN	20.43	907.074
NaN	NaN	NaN	NaN	20.475	913.665
NaN	NaN	NaN	NaN	20.52	911.713
NaN	NaN	NaN	NaN	20.565	916.26
NaN	NaN	NaN	NaN	20.61	916.248
NaN	NaN	NaN	NaN	20.655	919.661
NaN	NaN	NaN	NaN	20.7	921.551
NaN	NaN	NaN	NaN	20.745	924.465
NaN	NaN	NaN	NaN	20.79	926.31
NaN	NaN	NaN	NaN	20.835	927.773
NaN	NaN	NaN	NaN	20.88	931.361
NaN	NaN	NaN	NaN	20.925	932.389
NaN	NaN	NaN	NaN	20.97	935.886
NaN	NaN	NaN	NaN	21.015	937.183
NaN	NaN	NaN	NaN	21.06	941.202
